unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1629849600000,2021-08-25 00:00:00,BTC/USDT,47674.01,47921.99,47652.36,47903.37,651.13,31138464.44,15244.00
1629846000000,2021-08-24 23:00:00,BTC/USDT,48327.04,48404.19,47600.00,47674.01,1994.79,95626533.38,57155.00
1629842400000,2021-08-24 22:00:00,BTC/USDT,48194.31,48364.56,48109.09,48327.03,980.36,47309106.13,33716.00
1629838800000,2021-08-24 21:00:00,BTC/USDT,48335.57,48398.57,47959.00,48194.32,1027.48,49502434.08,40062.00
1629835200000,2021-08-24 20:00:00,BTC/USDT,48243.20,48390.16,48039.62,48335.58,1242.33,59952796.31,38068.00
1629831600000,2021-08-24 19:00:00,BTC/USDT,48182.06,48422.12,47904.61,48243.20,2060.62,99259243.89,52938.00
1629828000000,2021-08-24 18:00:00,BTC/USDT,48001.00,48197.88,47800.00,48182.07,1945.23,93378282.01,51366.00
1629824400000,2021-08-24 17:00:00,BTC/USDT,47950.36,48359.54,47865.94,48001.01,2247.93,108189203.70,58864.00
1629820800000,2021-08-24 16:00:00,BTC/USDT,48310.73,48406.26,47749.10,47950.37,6461.94,310501235.70,153621.00
1629817200000,2021-08-24 15:00:00,BTC/USDT,48529.59,48608.84,48210.98,48310.74,2950.08,142841359.20,161903.00
1629813600000,2021-08-24 14:00:00,BTC/USDT,48597.18,48719.12,48300.00,48529.58,3968.02,192625792.80,166386.00
1629810000000,2021-08-24 13:00:00,BTC/USDT,49333.33,49395.02,48392.26,48597.19,5187.68,252745864.90,117092.00
1629806400000,2021-08-24 12:00:00,BTC/USDT,49430.00,49455.92,49028.54,49333.33,1780.37,87652437.72,46437.00
1629802800000,2021-08-24 11:00:00,BTC/USDT,49283.07,49458.01,49060.00,49429.99,1668.53,82148300.99,43004.00
1629799200000,2021-08-24 10:00:00,BTC/USDT,49594.17,49846.00,49245.17,49283.07,1629.40,80636157.93,43626.00
1629795600000,2021-08-24 09:00:00,BTC/USDT,49673.43,49720.00,49499.39,49594.18,1213.69,60228784.24,54102.00
1629792000000,2021-08-24 08:00:00,BTC/USDT,49770.13,49834.00,49546.91,49673.44,1274.56,63339220.75,88995.00
1629788400000,2021-08-24 07:00:00,BTC/USDT,49791.97,49860.00,49645.33,49770.13,1373.00,68346739.09,94145.00
1629784800000,2021-08-24 06:00:00,BTC/USDT,49557.76,49800.00,49483.85,49791.98,1540.04,76495901.39,73775.00
1629781200000,2021-08-24 05:00:00,BTC/USDT,49479.73,49634.54,49432.07,49557.77,1145.14,56704922.25,32774.00
1629777600000,2021-08-24 04:00:00,BTC/USDT,49331.17,49571.55,49166.88,49479.72,1400.07,69134862.09,39067.00
1629774000000,2021-08-24 03:00:00,BTC/USDT,49195.55,49384.70,49180.68,49331.16,1423.96,70181090.24,37652.00
1629770400000,2021-08-24 02:00:00,BTC/USDT,48956.96,49224.92,48927.76,49195.55,1270.34,62409533.70,57688.00
1629766800000,2021-08-24 01:00:00,BTC/USDT,49221.80,49256.09,48776.26,48956.97,2838.52,138957871.60,84665.00
1629763200000,2021-08-24 00:00:00,BTC/USDT,49488.85,49687.49,49002.78,49221.81,2390.52,117911641.40,65795.00
1629759600000,2021-08-23 23:00:00,BTC/USDT,49649.99,49739.37,49430.28,49488.85,1359.39,67433127.24,34516.00
1629756000000,2021-08-23 22:00:00,BTC/USDT,49559.99,49666.00,49390.73,49650.00,1237.64,61335013.40,56282.00
1629752400000,2021-08-23 21:00:00,BTC/USDT,49505.00,49612.42,49334.19,49559.99,1364.14,67512400.89,56917.00
